epoch_ms,wallet_label,mint,buy_count,hold_duration_ms,wallet_token_amount,wallet_lamports_spent,wallet_lamports_received,wallet_pnl_sol,our_lamports_spent,our_lamports_received,our_pnl_sol
1784624464026,Zuki,YixPLN3a7i1XLsFh1XDtfzY8oPGzEounvUpzPGWpump,5,95333,30680528030713,2142259549,2857223018,0.714963,2363582350.867111,2744132790,0.38055
1784624547800,Felix,6r3PifyJWqbNjRHtH5P5dz2jjsRHnLq7TF9eTp7aPzmk,1,117930,22020148767409,1095029875,1521382193,0.426352,1169648455.897636,1221415515,0.051767
1784624849361,Zuki,YixPLN3a7i1XLsFh1XDtfzY8oPGzEounvUpzPGWpump,6,235751,16448196992756,2135157906,1734958815,-0.400199,2074072903.2687,1736424105,-0.337649
1784625817166,Pavel,DUVsG2QGamijpu9DKs6nXJuPTsgqcgsPYXPF3mzypump,2,691920,13771285972359,1764084080,2033083124,0.268999,1899867767.84285,1810599190,-0.089269
1784625800962,Pavel,DUVsG2QGamijpu9DKs6nXJuPTsgqcgsPYXPF3mzypump,1,248891,9442871908398,881005000,2033083124,1.152078,1095878581.455551,1991798783,0.89592
1784625971430,Pavel,DUVsG2QGamijpu9DKs6nXJuPTsgqcgsPYXPF3mzypump,1,78024,9224667731407,881005000,948194440,0.067189,973454235.664261,1010528000,0.037074
1784626442429,Pavel,DUVsG2QGamijpu9DKs6nXJuPTsgqcgsPYXPF3mzypump,1,38815,11281692551164,1756005001,2426198211,0.670193,1817856054.760315,2523711946,0.705856
1784626600486,Letterbomb,DUVsG2QGamijpu9DKs6nXJuPTsgqcgsPYXPF3mzypump,1,160813,19496940208680,3707774659,2861352604,-0.846422,4794746973.78006,2920717807,-1.874029
1784626676739,Letterbomb,Ff5UWMLpDz9UWpPrEYvtQXBquoHsap7rUYzaBZ7Spump,3,84515,32491975830196,3044257295,1810124179,-1.234133,2988880143.894859,1749059767,-1.23982
1784627836927,Felix,35EtqCu8eLd75NhYeQw1YhUH93xZG6RK3mxPn1Tapump,1,42572,29865027881227,2004079080,1730920100,-0.273159,2171320380.608482,1902422107,-0.268898
1784627927866,Felix,35EtqCu8eLd75NhYeQw1YhUH93xZG6RK3mxPn1Tapump,1,1936,942162923147,102005000,7568562,-0.094436,104063870.011742,10386430,-0.093677
1784632705916,Felix,HBMrYqHhiXhfqLD8w2ETjgWH5tuQMGzgsEgcKfmUpump,3,116204,38711341674073,2208089080,1668885549,-0.539204,2281357871.127426,1084510939,-1.196847
1784636601776,Zuki,AFaZdfMB1HNxztwAsF2qPDk3pXCQSdA8abdyLgmYpump,4,93943,10765282446578,2213857758,3068789807,0.854932,2494046820.174515,3005756763,0.51171
1784636938466,Zuki,a3hUzTpNzBbA3LXzMCxXC6T1CxWULycQdzkvyeWpump,4,79569,11426987682330,2448928369,2134251820,-0.314677,2630204655.435852,2000880737,-0.629324
1784637175877,Zuki,5NPNe4HW1TU2mNieLsdfEcNdA6DQWVMAiJw9MgURpump,2,35201,37466251609256,1325749756,1574777784,0.249028,1831059899.200653,1715561902,-0.115498
1784637298254,Zuki,HPUcy3ppbCgvyjQAy6vxjrGcrStNUkPwowNWhohbpump,1,6371,17042925686106,947918654,877730641,-0.070188,502406497.716434,484434106,-0.017972
1784637597619,Letterbomb,4npNvH7M6PrqqASMd4ww1ykJtCLspnbNbE2SbJp3pump,2,23006,32919548238496,2700188877,1315631862,-1.384557,2354799284.69886,1026709615,-1.32809
1784637624425,Letterbomb,5NAEujNNGotuUk5NddqNHX15eRr2ZuuTpAN1UDjfpump,1,20425,27168606296312,1687900382,1908037447,0.220137,2398863974.921066,2134599321,-0.264265
1784641676695,Felix,Db8XfDkW8bdBJA4JJJ58dHgiHEN8VSh6Wwq27LmBpump,1,43210,17661976311015,1004079080,959187605,-0.044891,1072846431.863098,485845710,-0.587001
1784645100829,Felix,EfXKmkK3H6rq6R5VX48ueMhuqvMtCv8nCT6QDuEXA6kh,1,15312,17417818177875,1084278820,626985954,-0.457293,643386732.179138,510522633,-0.132864
1784645242955,Felix,438oYCTEZCbTTyFWT2uJh6vtrAXrFHE62BYWSkmSpump,1,10948,22537456639616,2004079080,1076840798,-0.927238,982437831.567802,1144643170,0.162205
1784646022017,Letterbomb,13eobgHKsDBkYeTtCpPV8e4gc1CJdgdqfH4dufmLpump,9,307832,36120613179041,5716504547,2822657172,-2.893847,6620028387.375671,2385033762,-4.234995
1784646135047,Letterbomb,D7uPX78mAXKeAYbXDAzjVhg4JAyNH8pJBGg9zdarpump,1,6471,39500443159327,1689459699,1231059578,-0.4584,1226348031.737335,1136449873,-0.089898
1784647561005,Letterbomb,2YptmERsZ9UxPfi8LN4qoYurma53YFBpE6zyPAVYpump,1,6448,45527990682275,1687856191,1573717698,-0.114138,1591200604.100887,1448671443,-0.142529
1784651584836,Sheep,8dZqXD5QBACzBRXWvpkWSaigGho34NQQuyVnS1jbpump,1,20390,41656490889123,2278366844,2066441788,-0.211925,2780114108.008461,1740446647,-1.039667
1784655533854,theo,2ALSJaMegkspeJk6azSPj1894vKFFiARbo9ar35rpump,2,8400,10651964806540,527210000,1745834674,1.218625,367030754.690945,1600915761,1.233885
1784692829960,Felix,5hdhrkK4u8YREpSyP7u7woCGTGARrwPgpzD5hRaur7DR,1,1985,17841600355733,697388835,3069332006,2.371943,537122368.416599,519055476,-0.018067
1784692849024,Pikalosi,Ayw4XF7qGwBSDFrURTgwoQWierK4AcQhpdVtK5pHpump,1,1944,283187711600,23961144,20614199,-0.003347,8051700.84314,8047416,-4e-06
1784694147025,theo,BhCbtPXHqB2RmemgK89F1sYuVQz86b1Mf7FmpNXJpump,1,7742,4186695298233,263605000,4704131019,4.440526,249382832.883453,4531029038,4.281646
1784694596290,theo,8F5Ft4avtPuwE7Gx5VVsMhCRkJyuEhJvviuTyF7upump,3,14865,12457952605842,790815000,3630817784,2.840003,796608369.533951,3999500967,3.202893
1784695535437,Doji,CGwsCV5B498pp75HKpbWx5s6sauYD68YQkLV56hmpump,1,43036,9664363258512,751714973,765109334,0.013394,953799661.685043,674887149,-0.278913
1784695598527,Doji,8cHVHVzMY73wZbGsAChFu6nCmF1Xpjnc9Car3e5mpump,1,61149,9431705333402,677090159,706800711,0.029711,757715978.95079,685784977,-0.071931
1784695743544,Doji,CGwsCV5B498pp75HKpbWx5s6sauYD68YQkLV56hmpump,1,129489,10701272349870,706258485,576426156,-0.129832,758852006.795029,470102915,-0.288749
1784696359846,Doji,EDMoJET5DHfys8oMgn9ViyD2w7fAdoJHXFtVowt3pump,1,10765,5112904715883,515174582,526032107,0.010858,501323312.310471,484878658,-0.016445
1784696414613,Doji,EDMoJET5DHfys8oMgn9ViyD2w7fAdoJHXFtVowt3pump,1,48413,4359143600877,444739067,437475503,-0.007264,409745463.173027,438119348,0.028374
1784696864792,theo,G1QNcgLwsLoo2mkSjdeHwctZE46oSnCU7nukVxSGpump,3,296833,15732396342357,790815000,2154367908,1.363553,884058365.104134,2303697801,1.419639
1784696872131,theo,7W5zk1QWSQuKJr6c1kjBwuvMf3uJxowQNu5iKiMMpump,2,122827,6761722019547,527210000,2143691914,1.616482,527225833.390022,2029764974,1.502539
1784698138178,Doji,2JjfFcZgw1ao5njxnhrQK9waSuysSQWrNqjn5D8ppump,1,6315,7703554895492,637943599,778251029,0.140307,664129033.609184,654173490,-0.009956
1784698783032,Doji,866uW7RN8poeGa3nxJHChGuTrD5R6XEqvhnBRHNtpump,1,45678,5791802057106,462399008,91754970,-0.370644,522569297.326752,96305858,-0.426263
1784698798017,theo,866uW7RN8poeGa3nxJHChGuTrD5R6XEqvhnBRHNtpump,1,147083,3904388703952,263605000,1067146741,0.803542,351198379.420486,706609755,0.355411
1784698876731,Doji,CPYdtkP4BBFXgFMPDuWRPjPVThiMYX5uJSSdTBkppump,1,11002,4442784833091,503217232,410137282,-0.09308,425565495.605812,354543020,-0.071022
1784698911170,Doji,5rm11axUtoCmRUvTYGa4st9gfBYA48jukPaR1B9pvLgU,2,65153,7617101120984,1154493705,635092963,-0.519401,1446615160.01236,714541428,-0.732074
1784699060369,Doji,5rm11axUtoCmRUvTYGa4st9gfBYA48jukPaR1B9pvLgU,1,138211,3682182910470,647805649,1014049557,0.366244,681123505.37883,646959506,-0.034164
1784699211598,Doji,5rm11axUtoCmRUvTYGa4st9gfBYA48jukPaR1B9pvLgU,1,134286,6133616778267,650544494,423997270,-0.226547,1015470131.760529,390649894,-0.62482
